time_s,resultant
224.56,0.629831969
224.57,0.633098613
224.58,0.758865671
224.59,0.858788213
224.6,0.753813385
224.61,0.291959966
224.62,2.315897429
224.63,2.272384871
224.64,1.225254584
224.65,0.433375527
224.66,0.935459904
224.67,0.997271344
224.68,1.741694201
224.69,1.144928941
224.7,0.684462925
224.71,0.984613873
224.72,0.991960415
224.73,0.780796586
224.74,0.734110268
224.75,0.731692423
224.76,0.645985242
224.77,0.518714674
224.78,0.375158067
224.79,0.263431379
224.8,0.169588382
224.81,0.183699199
224.82,0.318790039
224.83,0.441185886
224.84,0.589218081
224.85,0.758515586
224.86,0.946314944
224.87,1.098906424
224.88,1.200050553
224.89,1.24331493
224.9,1.149721208
224.91,1.00086301
224.92,0.905706478
224.93,0.847927295
224.94,0.83713416
224.95,0.88101492
224.96,0.949518956
224.97,0.980018503
224.98,0.915182825
224.99,0.587573925
225,0.823091422
225.01,3.449303236
225.02,2.216787647
225.03,0.987018046
225.04,0.60490326
225.05,0.364237831
225.06,1.42388382
225.07,1.40114434
225.08,0.893279232
225.09,0.928046179
225.1,0.938270433
225.11,0.731962086
225.12,0.512927919
225.13,0.5168405
225.14,0.61695072
225.15,0.583285112
225.16,0.4543133
225.17,0.363493205
225.18,0.259604933
225.19,0.289889422
225.2,0.352272547
225.21,0.525792679
225.22,0.781445244
225.23,0.982563253
225.24,1.117646578
225.25,1.217320196
225.26,1.296541346
225.27,1.333694882
225.28,1.28366337
225.29,1.094689084
225.3,0.8279815
225.31,0.639027885
225.32,0.646355679
225.33,0.772163041
225.34,0.888857123
225.35,0.957865051
225.36,0.919786089
225.37,0.628474846
225.38,1.012225191
225.39,3.468685525
225.4,2.311293252
225.41,0.713042608
225.42,1.287564371
225.43,0.661824478
225.44,1.579064815
225.45,1.72119249
225.46,0.83208751
225.47,0.716869677
225.48,0.93208233
225.49,0.875741573
225.5,0.760607477
225.51,0.64015351
225.52,0.558597752
225.53,0.537499496
225.54,0.457816594
225.55,0.27800007
225.56,0.147756831
225.57,0.12275594
225.58,0.272502572
225.59,0.47679892
225.6,0.668361143
225.61,0.866561077
225.62,1.116766195
225.63,1.269860544
225.64,1.314473848
225.65,1.258683331
225.66,1.037506964
225.67,0.817999973
225.68,0.774321523
